Titre, 
Date, 2022-08-19 12:10:01.352480
Nom, 
Materiau, 
Charge de rupture, 0.0
Longueur de l'éprouvette, 0.0
Capteur de déplacement, Détecteur ultrasonique
  référence, UC_2000_L2_U_V15
Capteur de charge, Indicateur pour signal analogique
  référence, INDI_PAXS
Méthode d'accroche, Goupilles

t(s), x(mm), F(N), entree_charge
0.0, -0.0021903964548212994, 16.612866372599203, 0.0
0.02, -0.002138958528327542, -11.68335215150968, 0.6328976782716902
0.04, -0.0008296460910110662, -78.5722203116069, 1.2657953565433804
0.06, -0.002759378021554037, -43.21659326989523, 1.8986930348150703
0.08, 0.006695790745201375, 27.972650133181922, 2.503083541979973
0.1, 0.05501311305961892, 95.69763725836889, 2.5182707659266095
0.12000000000000001, 0.10930152657384745, 131.34681549310116, 2.521592513004627
0.14, 0.15943465493710815, 167.10467738991616, 2.5104348626414392
0.16, 0.20667090003785615, 255.89780731723087, 2.487325519928486
0.18, 0.25936909938424524, 224.09134713584137, 2.4793042877650557
0.19999999999999998, 0.30570183910622967, 327.2359538954903, 2.474749356176439
0.21999999999999997, 0.3567635991225359, 348.7674299088646, 2.469989365039399
0.23999999999999996, 0.40479639367152503, 511.9368927133252, 2.4639873789629325
0.25999999999999995, 0.4573403689777776, 542.7910004699277, 2.4521731181915927
0.27999999999999997, 0.5040902901662593, 582.6445822031059, 2.441825172716626
0.3, 0.5540861883580149, 684.6980222356767, 2.4329844993074423
0.32, 0.6024712664471333, 706.5386212590977, 2.4301238602523343
0.34, 0.6524847477993398, 712.457224120214, 2.414613083800043
0.36000000000000004, 0.7023698591237475, 833.368942553293, 2.389288943840631
0.38000000000000006, 0.7442152018984092, 779.3009426529459, 2.3702395200615003
0.4000000000000001, 0.7948990732429337, 895.193227917128, 2.3590115105022758
0.4200000000000001, 0.8428923638021576, 969.1125590779604, 2.3562005293500787
0.4400000000000001, 0.8873497669865767, 1012.2975722433811, 2.341004633227051
0.46000000000000013, 0.9370035799022538, 1054.4142915203631, 2.3323986062425566
0.48000000000000015, 0.9879964907191165, 1144.2193375726313, 2.3393079097945977
0.5000000000000001, 1.0329614949941297, 1162.678294888342, 2.3230076930873564
0.5200000000000001, 1.0734647674353552, 1195.9687836190592, 2.3015149509216983
0.5400000000000001, 1.1189478099019892, 1322.720165014107, 2.2958250032790914
0.5600000000000002, 1.1677309835608336, 1359.9515567810301, 2.2833034813280593
0.5800000000000002, 1.2109522127568044, 1398.0920899338303, 2.266495659561344
0.6000000000000002, 1.2603206162369507, 1424.971383936285, 2.259830614929229
0.6200000000000002, 1.3063290552302609, 1469.0999227060997, 2.244742926791982
0.6400000000000002, 1.3482114577351534, 1483.8293680164047, 2.2252466818537857
0.6600000000000003, 1.3971393057790706, 1495.230769207261, 2.214545734309321
0.6800000000000003, 1.4371626848021923, 1547.7410114486072, 2.21091438187194
0.7000000000000003, 1.4837241765778122, 1642.3410629790642, 2.2061175109333933
0.7200000000000003, 1.5296779161583687, 1770.5462511882313, 2.200484127645073
0.7400000000000003, 1.5725068340837531, 1700.5256939224823, 2.1969768641671426
0.7600000000000003, 1.616545940458326, 1870.2095665571937, 2.191974203083527
0.7800000000000004, 1.6591277489731713, 1955.5276141419556, 2.185108937628676
0.8000000000000004, 1.7004356762056019, 2023.831185009322, 2.1581771875400615
0.8200000000000004, 1.742708333484152, 1938.364793531746, 2.142054819026475
0.8400000000000004, 1.787497659468705, 2005.3893942645095, 2.1511404585277893
0.8600000000000004, 1.8312895995011689, 2079.7872221003845, 2.127219876767792
0.8800000000000004, 1.8733593229501122, 2137.172046117941, 2.0992131260593663
0.9000000000000005, 1.9160947809877873, 2126.3618206155743, 2.090418980343231
0.9200000000000005, 1.9588033830850242, 2183.715640448448, 2.0888131172006723
0.9400000000000005, 1.9963455766779656, 2250.7636482606895, 2.0902719729419954
0.9600000000000005, 2.0430416739051322, 2308.121374754477, 2.0807752369937584
0.9800000000000005, 2.083974223486068, 2355.1399387979814, 2.0714932711836975
1.0000000000000004, 2.120869994635237, 2453.3589475762656, 2.058167228215896
1.0200000000000005, 2.1668999354612186, 2436.714938358528, 2.0402937678241595
1.0400000000000005, 2.2098789198576596, 2519.321162629772, 2.0327892867655257
1.0600000000000005, 2.247606557901899, 2549.62021850128, 2.026008667053089
1.0800000000000005, 2.2896609141323867, 2505.492698991401, 2.0198601228746993
1.1000000000000005, 2.3286051660394107, 2623.457018687845, 2.0091365154649314
1.1200000000000006, 2.36536765619887, 2627.047425425979, 1.99566750268718
1.1400000000000006, 2.407457786621337, 2704.271756531472, 1.9871040828242772
1.1600000000000006, 2.4481469291142366, 2685.3630487828045, 1.9884152974578664
1.1800000000000006, 2.4857295891214948, 2759.9007980201827, 1.9733394989954365
1.2000000000000006, 2.526471131415987, 2828.778747099799, 1.9647751846009889
1.2200000000000006, 2.5688078495442013, 2964.0847121958063, 1.9643094322897525
1.2400000000000007, 2.609500408895113, 2927.177940376144, 1.9577398823740275
1.2600000000000007, 2.6479262773040095, 2941.4473019296947, 1.9497150669181162
1.2800000000000007, 2.6861610520535146, 3018.8125761184583, 1.9402038767640775
1.3000000000000007, 2.723004033312701, 3062.204870319249, 1.9187662740656801
1.3200000000000007, 2.7643706012256475, 3085.674957341344, 1.8961919569348589
1.3400000000000007, 2.7997336271284823, 3127.9189923969248, 1.9009898116378114
1.3600000000000008, 2.8381438880020617, 3185.7668015876147, 1.8961286599464464
1.3800000000000008, 2.8785995180698, 3256.621592222195, 1.8841229372777641
