Titre, 
Date, 2022-08-19 12:49:02.573853
Nom, 
Materiau, 
Charge de rupture, 0.0
Longueur de l'éprouvette, 0.0
Capteur de déplacement, Détecteur ultrasonique
  référence, UC_2000_L2_U_V15
Capteur de charge, Indicateur pour signal analogique
  référence, INDI_PAXS
Méthode d'accroche, Goupilles

t(s), x(mm), F(N), entree_charge
0.0, -0.0035151704424556634, -92.38532376231869, 0.0
0.02, 0.0007966109302840136, 12.117689860161494, 0.5199184490154882
0.04, 0.0004883748260938861, 28.26912625970387, 1.0398368980309765
0.06, 0.0001801387219037587, 44.420562659246244, 1.5597553470464647
0.08, -0.0002513895693951353, -70.29300544962885, 2.079673796061953
0.1, 0.01556369657752851, 34.20329260959574, 2.495898439730015
0.12000000000000001, 0.06306144358023652, 135.18043110416122, 2.491387891157056
0.14, 0.11352050033899191, 133.45923862251243, 2.5104585671631554
0.16, 0.1640289957808684, 142.87535076703222, 2.503695415217875
0.18, 0.21602377406567846, 232.3595192107966, 2.4903473881621827
0.19999999999999998, 0.2659211111327656, 242.71153507887578, 2.477025454423149
0.21999999999999997, 0.3137688638930182, 381.552791041521, 2.4725872410118743
0.23999999999999996, 0.3632749334043859, 405.6924858504354, 2.472568897075956
0.25999999999999995, 0.4116557147914574, 400.7217673303285, 2.4713476488040778
0.27999999999999997, 0.4602901646186625, 491.98340203044444, 2.4631890010218997
0.3, 0.5113402874611863, 612.3750636376064, 2.450441453868141
0.32, 0.5593026609426335, 593.1849739765521, 2.4324554679113928
0.34, 0.6088989266909661, 705.5062345603227, 2.4211311412498806
0.36000000000000004, 0.6585868762505229, 704.8326488709342, 2.4186690849527768
0.38000000000000006, 0.7070787653430712, 749.7213977892176, 2.3952279659153195
0.4000000000000001, 0.7540410990077032, 809.6984745045567, 2.375787484368482
0.4200000000000001, 0.8005026045781348, 953.5736962255769, 2.3783178901917124
0.4400000000000001, 0.8494247857810595, 948.8861185796619, 2.3683884870116656
0.46000000000000013, 0.8972635780061363, 1039.944778818772, 2.3552254466505596
0.48000000000000015, 0.9455688196686953, 1067.7743811055475, 2.349483232467839
0.5000000000000001, 0.9941572187586832, 1143.7079535882665, 2.331844066875329
0.5200000000000001, 1.036326053897305, 1165.203324928769, 2.3057931772949227
0.5400000000000001, 1.0826520049361683, 1224.7673853511346, 2.306128664428708
0.5600000000000002, 1.1316555215673612, 1320.1768812349192, 2.3000319496712947
0.5800000000000002, 1.1768463432850433, 1280.5256818577031, 2.284042800775383
0.6000000000000002, 1.2230773382471674, 1302.708889700396, 2.270977456647343
0.6200000000000002, 1.2698681690430038, 1387.9092589406678, 2.2598836034509207
0.6400000000000002, 1.3120252700887303, 1416.1917926229846, 2.252156757563587
0.6600000000000003, 1.355834890621094, 1571.0329391448722, 2.2448247699170563
0.6800000000000003, 1.4074890388340289, 1591.1895569828298, 2.2383715582221653
0.7000000000000003, 1.4480494109874564, 1604.130894375295, 2.2355438821003317
0.7200000000000003, 1.4930036567423435, 1695.443017240773, 2.225730774622394
0.7400000000000003, 1.537431549099139, 1681.2601669474818, 2.2104896550317905
0.7600000000000003, 1.5843228235398414, 1809.8173188959752, 2.190203639173067
0.7800000000000004, 1.62535646489129, 1821.2295641419612, 2.1775833604788266
0.8000000000000004, 1.6705905513152228, 1866.34793892909, 2.173341824664546
0.8200000000000004, 1.7116140878384878, 1975.990540787234, 2.1641225488504814
0.8400000000000004, 1.7576353061714454, 1948.438089711446, 2.1523542913501728
0.8600000000000004, 1.7990619826627419, 1982.3289650439517, 2.1359224003466797
0.8800000000000004, 1.8416275623248923, 2092.9193875306823, 2.1257288548968107
0.9000000000000005, 1.888280731076245, 2126.0569557284957, 2.116047177264469
0.9200000000000005, 1.9296177561720707, 2117.5061546605166, 2.096885053647138
0.9400000000000005, 1.9688141636100258, 2212.8685488177857, 2.0959492380688554
0.9600000000000005, 2.0122163332544774, 2270.7097096967364, 2.08104576969634
0.9800000000000005, 2.053012260741953, 2349.310010791767, 2.0666644113072694
1.0000000000000004, 2.094982013149887, 2397.931581046155, 2.0677000352131882
1.0200000000000005, 2.13507234605344, 2406.694162366553, 2.0606772902422987
1.0400000000000005, 2.1776485750461587, 2331.203523485153, 2.0473190771686562
1.0600000000000005, 2.216075324559448, 2529.1759093092974, 2.0346357278138263
1.0800000000000005, 2.2564941896507045, 2582.5400283118915, 2.0150659435097715
1.1000000000000005, 2.301042910440748, 2632.8820813650605, 2.017829258553896
1.1200000000000006, 2.339871334457487, 2603.6707782300955, 2.019006534270217
1.1400000000000006, 2.3802641669262323, 2713.3490539080467, 1.9937097017134973
1.1600000000000006, 2.4214897570967238, 2745.9579585748857, 1.9799511200404198
1.1800000000000006, 2.4603353591224946, 2788.5230532153964, 1.9731421381062895
1.2000000000000006, 2.4989555705346294, 2807.6727328617762, 1.9667075281594764
1.2200000000000006, 2.5376584261950215, 2926.4372752235895, 1.9587409237649882
1.2400000000000007, 2.5762981494487414, 2864.4078629917417, 1.9487701876554375
1.2600000000000007, 2.613711426597474, 2975.5969646004783, 1.9386896781337464
1.2800000000000007, 2.6530531327777367, 3018.5204154183753, 1.930636720822613
1.3000000000000007, 2.690855836910715, 3053.0238171250676, 1.928116344680902
1.3200000000000007, 2.7310574681455146, 3129.6425131478113, 1.9221756825168217
1.3400000000000007, 2.768899084678278, 3147.4407634018985, 1.9139670691022765
1.3600000000000008, 2.8079516337134702, 3154.9571197425835, 1.89929764280355
1.3800000000000008, 2.847431091840171, 3132.618443828267, 1.8872166634399186
