Titre, 
Date, 2022-08-18 17:04:20.995042
Nom, 
Materiau, 
Charge de rupture, 0.0
Longueur de l'éprouvette, 0.0
Capteur de déplacement, Détecteur ultrasonique
  référence, UC_2000_L2_U_V15
Capteur de charge, Indicateur pour signal analogique
  référence, INDI_PAXS
Méthode d'accroche, Goupilles

t(s), Consigne(transformee), sortie_charge, sortie_charge_transformee, Charge(tonnes), sortie_deplacement
0.0, 0.014921059375422027, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.398797120666131
0.02, 0.017141002982971477, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.398797120666131
0.04, 0.032266030490142664, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.399744496979945
0.06, 0.042674299895941646, 1.1529854105632986, 1.1600239162384152, 2.3059708211265972, 4.401391784830717
0.08, 0.05286853057824857, 1.1517015856225044, 1.1586854584690862, 2.3034031712450087, 4.403959434712306
0.1, 0.06304221360198463, 1.1521053843706968, 1.1591064407654958, 2.3042107687413935, 4.402344239719536
0.12000000000000001, 0.07336688141514254, 1.1529446083537795, 1.1599813777017336, 2.305889216707559, 4.398987343787205
0.14, 0.08369036146469568, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.398797120666131
0.16, 0.09396515557316139, 1.152711251183978, 1.1597380900797032, 2.305422502367956, 4.398797120666131
0.18, 0.10396291449266176, 1.1519025142305876, 1.1588949375405888, 2.3038050284611753, 4.398797120666131
0.19999999999999998, 0.11380126754548206, 1.1523095347545975, 1.159319278714628, 2.304619069509195, 4.399405069798225
0.21999999999999997, 0.12351041403712952, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.400213812213827
0.23999999999999996, 0.13341921494588643, 1.152992164134048, 1.1600309572055696, 2.305984328268096, 4.4013782776892185
0.25999999999999995, 0.14327668705109528, 1.1525378737479346, 1.159557334613031, 2.305075747495869, 4.4041040200058985
0.27999999999999997, 0.15297352241804846, 1.151724317385472, 1.1587091575761745, 2.303448634770944, 4.408985358180674
0.3, 0.16296597099230298, 1.1525169877277412, 1.1595355597938093, 2.3050339754554825, 4.40912174875848
0.32, 0.17300381468903797, 1.152632284132121, 1.1596557626059796, 2.305264568264242, 4.408042108752699
0.34, 0.18273952567347795, 1.1518021719369822, 1.1587903252073954, 2.3036043438739644, 4.405551772167283
